t[s],x[m],y[m]
81.7219386101,0.0615201257169,0.00700626615435
82.0083465576,0.0296994391829,-0.0452373623848
82.1978805065,0.0745444074273,-0.0497263073921
82.4539809227,0.0214791949838,-0.11873819679
82.7587888241,-0.0298972912133,-0.142106413841
83.0094554424,-0.0298972912133,-0.142106413841
83.1938371658,-0.0343551449478,-0.166602984071
83.4456911087,-0.0471362583339,-0.131997317076
83.7151944637,-0.00123297341634,-0.101955443621
83.9723851681,-0.00123297341634,-0.101955443621
84.2028179169,4.0843966417e-05,-0.0981241390109
84.4558417797,-0.0373705551028,-0.117761209607
84.7027943134,-0.0737687498331,-0.035507529974
85.009734869,-0.0224463623017,-0.131119087338
85.1848614216,-0.0329842939973,-0.148704230785
85.4712016582,-0.0329842939973,-0.148704230785
85.7456743717,0.0293974764645,-0.0530200600624
86.0074822903,-0.021417375654,-0.227405801415
86.1986501217,-0.021417375654,-0.227405801415
86.4491467476,-0.0832060649991,-0.227592274547
86.7375519276,-0.0725900754333,-0.21377761662
86.9833612442,-0.0770398974419,-0.187849864364
87.1870234013,-0.0714922994375,-0.743717432022
87.4518916607,-0.12866961956,-0.255908966064
87.7422647476,-0.0762266740203,-0.624176025391
88.0756747723,-0.0762266740203,-0.624176025391
88.2010028362,-0.0951942130923,-0.087536983192
88.4333028793,-0.0416720621288,-0.0252526383847
88.6951980591,-0.0403017923236,-0.107927136123
89.0726997852,0.000271255994448,-0.0656270384789
89.2123601437,0.000271255994448,-0.0656270384789
89.4442198277,0.0249703768641,0.0629755556583
89.7073528767,0.0842251330614,0.00263468851335
89.986997366,0.0173875968903,0.00864764582366
90.2009882927,0.00297574955039,0.0127340871841
90.4559187889,0.00297574955039,0.0127340871841
90.7495625019,0.0967231914401,0.0497276335955
90.9964179993,0.0601887106895,0.13806296885
91.1990787983,0.0601887106895,0.13806296885
91.4529025555,0.0495864972472,0.10057733953
91.7428123951,0.127783179283,0.0549854896963
91.9995529652,0.0171169117093,0.00565606355667
92.2047393322,-0.00296932714991,0.0411169193685
92.4424681664,0.00996141787618,-0.0880745202303
92.731320858,0.0314693935215,-0.068520180881
92.9790303707,0.0314693935215,-0.068520180881
93.1955835819,-0.0184451155365,-0.045549094677
93.4519860744,-0.0678933411837,-0.18921290338
93.7315480709,-0.0678933411837,-0.18921290338
94.016323328,-0.0336108282208,-0.0800646170974
94.2022857666,-0.0336108282208,-0.0800646170974
94.4512979984,-0.0219937358052,-0.212433069944
94.6926987171,-0.043916605413,-0.162717849016
95.0067613125,-0.069859072566,-0.18392367661
95.192612648,-0.069859072566,-0.18392367661
95.4903242588,-0.0690094381571,-0.0978539735079
95.6969301701,-0.0882193371654,-0.183397874236
96.0051696301,-0.143038988113,-0.155560880899
96.20327878,-0.143038988113,-0.155560880899
96.4526863098,-0.0491829439998,-0.730760574341
96.6932787895,-0.0751464292407,-0.321862012148
96.9952559471,-0.0704449340701,-0.190811425447
97.2313406467,-0.072600312531,-0.134580597281
97.4459021091,-0.00502265477553,-0.118648082018
97.7031137943,-0.00502265477553,-0.118648082018
98.0071399212,-0.0232578124851,-0.214686349034
98.2686328888,-0.00950611103326,-0.090730547905
